ts,leg,side,price,qty,mid_perp,micro_price,bid_px,ask_px,spread_bps,tfi,obi,base_half_spread_bps,min_half_spread_bps,one_sided_quote_policy,cancel_aggressive_policy,quote_distance_from_mid_bps,quote_distance_from_micro_bps,quote_distance_from_best_bps,aggressive_vs_best,directional_alignment,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
1777018873.6097963,bid,buy,2316.25,0.21,2320.315,2320.319973547231,2320.31,2320.32,0.043097596663462835,0.5897356143079316,0.9946228299277924,18.0,18.0,current,current,17.519173043315472,17.540570238719088,17.497661950342607,passive_inside_book,neutral,0.2530028820037842,cancel_aggressive,1,0,0
1777018873.6102986,ask,sell,2324.6,0.25,2320.315,2320.319973547231,2320.31,2320.32,0.043097596663462835,0.5897356143079316,0.9946228299277924,18.0,18.0,current,current,18.467320169890098,18.44584583834763,18.445731623223285,passive_inside_book,neutral,0.2525005340576172,cancel_aggressive,1,0,0
1777018885.8733628,bid,buy,2317.9700000000003,0.21,2322.035,2322.0388552646496,2322.15,2322.16,0.04306344752940063,0.875927110731973,0.7281553398058254,18.0,18.0,current,current,17.50619607370087,17.522769937394358,18.00055982602259,passive_inside_book,with_flow,0.22780895233154297,cancel_aggressive,1,0,0
1777018885.8743663,ask,sell,2330.52,0.25,2322.035,2322.0388552646496,2322.15,2322.16,0.04306344752940063,0.875927110731973,0.7281553398058254,18.0,18.0,current,current,36.54122353883609,36.52455994059499,36.00096461914824,passive_inside_book,against_flow,0.2268054485321045,cancel_aggressive,1,0,0
1777018903.8984728,bid,buy,2316.34,0.21,2321.0550000000003,2321.051681278005,2320.75,2320.76,0.043089425640441485,-0.48954521693674813,-0.698973377414303,18.0,18.0,current,current,20.314038228306288,20.29976891945248,19.002477647311665,passive_inside_book,neutral,0.2642960548400879,cancel_aggressive,1,0,0
1777018903.899541,ask,sell,2324.69,0.25,2321.0550000000003,2321.051681278005,2320.75,2320.76,0.043089425640441485,-0.48954521693674813,-0.698973377414303,18.0,18.0,current,current,15.660981751831658,15.67530249904466,16.934107792274236,passive_inside_book,neutral,0.2632279396057129,cancel_aggressive,1,0,0
1777018944.6044497,bid,buy,2312.79,0.21,2317.545,2317.54000618947,2317.54,2317.55,0.043149108216747806,-0.40263954997836404,-0.9872134038800706,18.0,18.0,current,current,20.5174009566162,20.495897273766005,20.4958706214348,passive_inside_book,neutral,0.24787664413452148,quote_fade,0,1,0
1777018944.605451,ask,sell,2321.13,0.25,2317.545,2317.54000618947,2317.54,2317.55,0.043149108216747806,-0.40263954997836404,-0.9872134038800706,18.0,18.0,current,current,15.468955295366591,15.490536521234079,15.447347414294953,passive_inside_book,neutral,0.24687528610229492,quote_fade,0,1,0
1777018960.803665,bid,buy,2313.25,0.21,2317.745,2317.7494359108628,2317.67,2317.68,0.04314668795134576,-0.48080078765999396,0.17708688398127054,18.0,18.0,current,current,19.393850488297424,19.412952242158582,19.070877217205524,passive_inside_book,neutral,0.2555234432220459,cancel_aggressive,1,0,0
1777018960.804664,ask,sell,2321.59,0.25,2317.745,2317.7494359108628,2317.67,2317.68,0.04314668795134576,-0.48080078765999396,0.17708688398127054,18.0,18.0,current,current,16.58940047330597,16.570229851563173,16.87031859445786,passive_inside_book,neutral,0.25452446937561035,cancel_aggressive,1,0,0
