ts,trade_id,trade_side,trade_px,trade_age_ms,has_active_quote,used_px_source,active_bid_px,active_ask_px,active_bid_qty,active_ask_qty,active_bid_ts,active_ask_ts,proximity_to_active_bid_bps,proximity_to_active_ask_bps,proximity_to_active_quote_bps,proximity_to_best_bps,danger_direction_match,tfi,spread_bps,quote_lifetime_sec,end_reason,quote_fade_nearby,quote_fade_dt_ms,valid_active_cancel_candidate
1777122114.866819,1431919354469662720,buy,2313.39,16309.818983078003,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122114.634564,1777122114.634564,18.144812056121598,35.792738079856996,35.792738079856996,0.0,True,1.0,0.0432267002671995,0.2322549819946289,cancel_aggressive,True,497.9395866394043,False
1777122115.8655386,1431919354469662720,buy,2313.39,17308.538675308228,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122115.633434,1777122115.633434,18.144812056121598,35.792738079856996,35.792738079856996,0.0,True,1.0,0.0432267002671995,0.23210453987121582,cancel_aggressive,True,259.62328910827637,False
1777122116.6297712,1431919354469662720,buy,2313.39,18072.771310806274,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122116.3712666,1777122116.3712666,18.144812056121598,35.792738079856996,35.792738079856996,0.0,True,1.0,0.0432267002671995,0.25850462913513184,cancel_aggressive,True,498.75879287719727,False
1777122117.6283648,1431919434341793792,buy,2313.75,28.364896774291992,True,active_quote,2309.21,2321.71,0.21,0.25,1777122117.372705,1777122117.372705,19.66040334140231,34.28507436329273,34.28507436329273,0.0,True,1.0,0.0432199745443784,0.255659818649292,cancel_aggressive,True,-499.8347759246826,False
1777122118.1149187,1431919436489277442,buy,2313.82,2.918720245361328,True,active_quote,2309.7000000000003,2322.2000000000003,0.21,0.25,1777122117.8710964,1777122117.8721128,17.837814434774604,36.0864697269835,36.0864697269835,0.3025391680179955,True,1.0,0.0432199745443784,0.24382233619689941,cancel_aggressive,True,-986.3886833190918,False
1777122118.6276243,1431919436929679364,buy,2313.82,410.62426567077637,True,active_quote,2309.68,2322.19,0.21,0.25,1777122118.3728695,1777122118.3728695,17.92456097814558,36.04356232694091,36.04356232694091,0.0,True,1.0,0.043218667007596884,0.25475478172302246,cancel_aggressive,False,1494.8949813842773,False
1777122119.1265428,1431919436929679364,buy,2313.82,909.5427989959717,True,active_quote,2309.63,2322.13,0.21,0.25,1777122118.8730621,1777122118.8730621,18.141433909327702,35.78611016609727,35.78611016609727,0.0,True,1.0,0.043218667007596884,0.2534806728363037,cancel_aggressive,True,995.976448059082,False
1777122119.6259205,1431919436929679364,buy,2313.82,1408.9205265045166,True,active_quote,2309.61,2322.12,0.21,0.25,1777122119.3712735,1777122119.3712735,18.228185711007644,35.74320017914547,35.74320017914547,0.0,True,1.0,0.043218667007596884,0.25464701652526855,cancel_aggressive,True,496.5987205505371,False
1777122120.6234686,1431919447084089344,buy,2313.82,0.0,True,active_quote,2309.55,2322.05,0.21,0.25,1777122120.370455,1777122120.3717859,18.488450130977814,35.44281992205171,35.44281992205171,0.0,True,1.0,0.043218667007596884,0.25301361083984375,cancel_aggressive,True,-500.9493827819824,False
1777122121.1286283,1431919447084089344,buy,2313.82,490.6282424926758,True,active_quote,2309.55,2322.05,0.21,0.25,1777122120.8710325,1777122120.872033,18.488450130977814,35.44281992205171,35.44281992205171,0.0,True,1.0,0.043218667007596884,0.2575957775115967,cancel_aggressive,True,516.2923336029053,False
